name,all_reviews,popular_tags,genre,original_price,discount_price
Realm Royale,"Mixed,(27,708),- 64% of the 27,708 user reviews for this game are positive.","Early Access,Battle Royale,Free to Play,Multiplayer,Shooter,Early Access,Survival,PvP,Third-Person Shooter,Action,Third Person,Competitive,FPS,Fantasy,Team-Based,Massively Multiplayer,Co-op,Open World,Online Co-Op,Memes","Action,Free to Play,Early Access",Free To Play,
Sid Meier’s Civilization VI Gold Edition,,,Strategy,,$99.76
Gang Beasts,"Mixed,(16,225),- 69% of the 16,225 user reviews for this game are positive.","Funny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,Simulation","Action,Adventure,Casual,Indie",$19.99,$24.28
Age of Empires Legacy Bundle,,,"Simulation,Strategy",,$64.75
Total War: MEDIEVAL II – Definitive Edition,"Very Positive,(7,674),- 93% of the 7,674 user reviews for this game are positive.","Strategy,Medieval,Historical,Turn-Based Strategy,Grand Strategy,War,RTS,Tactical,Singleplayer,Multiplayer,Moddable,Military,Turn-Based,Real Time Tactics,Classic,Simulation,Action,Masterpiece,Great Soundtrack,Sandbox",Strategy,$24.99,
Tales of Vesperia: Definitive Edition,"Very Positive,(479),- 86% of the 479 user reviews for this game are positive.","JRPG,RPG,Anime,Singleplayer,Story Rich,Action RPG,Local Co-Op,Adventure,Great Soundtrack,Fantasy,Action,Open World,Classic",RPG,$49.99,
FINAL FANTASY X/X-2 HD Remaster,"Very Positive,(6,100),- 89% of the 6,100 user reviews for this game are positive.","JRPG,Story Rich,RPG,Turn-Based Combat,Great Soundtrack,Fantasy,Singleplayer,Classic,Adventure,Turn-Based,Atmospheric,Romance,Female Protagonist,Anime,Open World,Linear,Action,Remake,Masterpiece,Sports",RPG,$29.99,
Return of the Obra Dinn,"Overwhelmingly Positive,(4,030),- 96% of the 4,030 user reviews for this game are positive.","Detective,Mystery,Story Rich,Singleplayer,Atmospheric,Puzzle,Indie,Adventure,Multiple Endings,Historical,Great Soundtrack,Violent,Difficult,Retro,Pirates,Naval,First-Person,Horror,Noir,Walking Simulator","Adventure,Indie",$19.99,$69.23
Castle Crashers®,"Overwhelmingly Positive,(37,698),- 96% of the 37,698 user reviews for this game are positive.","Co-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPG","Action,Adventure,Casual,Indie,RPG",$14.99,$29.56
FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,,,RPG,,$59.98
Call of Duty®: WWII,"Mixed,(12,703),- 54% of the 12,703 user reviews for this game are positive.","World War II,FPS,Multiplayer,War,Action,Zombies,Shooter,First-Person,Singleplayer,Co-op,Violent,Gore,Historical,Story Rich,Horror,Psychological Horror,Massively Multiplayer,Female Protagonist,Open World,Heist",Action,1.020,$906.48
MudRunner,"Very Positive,(6,311),- 82% of the 6,311 user reviews for this game are positive.","Offroad,Simulation,Driving,Realistic,Multiplayer,Physics,Open World,Co-op,Racing,Online Co-Op,Sandbox,Moddable,Atmospheric,Singleplayer,Mod,Exploration,Adventure,First-Person,Third Person,VR",Simulation,$24.99,
Keep Talking and Nobody Explodes,"Overwhelmingly Positive,(4,809),- 98% of the 4,809 user reviews for this game are positive.","Co-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great Soundtrack",Indie,$76.95,$53.15
SPORE™,"Very Positive,(15,680),- 87% of the 15,680 user reviews for this game are positive.","Simulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTS",Simulation,$19.99,$40.17
Contra Anniversary Collection,"Mostly Positive,(35),- 71% of the 35 user reviews for this game are positive.","Action,2D,Classic,Platformer,Side Scroller,Shooter,Difficult",Action,$19.99,
Fishing Planet,"Mostly Positive,(14,138),- 76% of the 14,138 user reviews for this game are positive.","Fishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPG","Free to Play,Massively Multiplayer,Simulation,Sports",$19.99,$19.93
Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,,,"Action,Adventure",,$44.97
Just Cause™ 3,"Mostly Positive,(37,858),- 73% of the 37,858 user reviews for this game are positive.","Open World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPG","Action,Adventure",$19.99,$412.53
BioShock Infinite,"Overwhelmingly Positive,(59,252),- 95% of the 59,252 user reviews for this game are positive.","FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG",Action,$29.99,
Men of War: Assault Squad 2,"Very Positive,(10,495),- 84% of the 10,495 user reviews for this game are positive.","Strategy,World War II,War,RTS,Simulation,Tactical,Action,Military,Multiplayer,Real Time Tactics,Realistic,Tanks,Historical,Co-op,Destruction,Singleplayer,Atmospheric,Masterpiece,Difficult,Classic","Action,Simulation,Strategy",$84.97,$43.94
Dungeons & Dragons Online®,"Mostly Positive,(2,454),- 70% of the 2,454 user reviews for this game are positive.","Free to Play,RPG,MMORPG,Massively Multiplayer,Fantasy,Action,Adventure,Dragons,Multiplayer,Open World,Magic,Dungeons & Dragons,Third Person,Co-op,Character Customization,Dungeon Crawler,Puzzle,Sandbox,FPS,Online Co-Op","Action,Adventure,Free to Play,Massively Multiplayer,RPG",Play for Free!,
NecroDancer ULTIMATE PACK,,,"Action,Indie,RPG",$58.89,$17.38
JUMP FORCE,"Mixed,(2,677),- 55% of the 2,677 user reviews for this game are positive.","Fighting,Anime,Action,Multiplayer,Character Customization,Singleplayer,Local Multiplayer,RPG,Open World,Casual,Story Rich,Beat 'em up,Sandbox,Great Soundtrack,Controller,Massively Multiplayer,Violent,FPS,Fantasy,Nudity",Action,$59.99,
Desert Skies,"Very Positive,(51),- 86% of the 51 user reviews for this game are positive.","Early Access,Indie,Action,Adventure,Early Access,Survival,Crafting,Western,First-Person,Building,Stealth,Base Building","Action,Adventure,Indie,Early Access",$19.99,
Ring of Elysium,"Mostly Positive,(54,938),- 74% of the 54,938 user reviews for this game are positive.","Early Access,Free to Play,Battle Royale,Shooter,Multiplayer,Survival,Early Access,Action,Massively Multiplayer,FPS,Third-Person Shooter,Open World,PvP,Co-op,First-Person,Tactical,Violent,Sandbox,Gore,Destruction","Action,Free to Play,Massively Multiplayer,Early Access",Free To Play,
Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,,"RPG,Anime,JRPG,Female Protagonist,Action,Adventure,Cute,Side Scroller,2D","Action,Adventure,RPG",$39.99,
